,Loyalty#,First Name,Last Name,Customer Name,Country,Province or State,City,Latitude,Longitude,Postal code,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,Cancelled,Time on Program,EnrollmentDay
4484,535413,Caroyln,Laney,Caroyln Laney,Canada,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Male,Bachelor,Urban,44084.0,Married,Nova,2021-01-26,,2874.07,Standard,N,338 days,Tuesday
4485,629706,Selena,Zampella,Selena Zampella,Canada,Saskatchewan,Regina,50.44521,-104.6189,S1J 3C5,Male,Bachelor,Urban,33462.0,Married,Nova,2018-07-13,,2874.09,Standard,N,1266 days,Friday
4486,132552,Jen,Bartl,Jen Bartl,Canada,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Female,Bachelor,Suburban,84768.0,Married,Nova,2020-11-10,,2875.43,Standard,N,415 days,Tuesday
4487,336770,Valery,Kitagawa,Valery Kitagawa,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Male,Bachelor,Suburban,84768.0,Married,Nova,2021-07-19,,2875.43,Standard,N,164 days,Monday
4488,159486,Yuk,Rothermich,Yuk Rothermich,Canada,Ontario,London,42.984924,-81.245277,M5B 3E4,Male,College,Urban,0.0,Single,Nova,2016-11-12,2021-02-24,2876.78,Standard,Y,1565 days,Saturday
4489,576345,Deeanna,Northway,Deeanna Northway,Canada,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,Male,Bachelor,Rural,40171.0,Divorced,Nova,2017-12-06,,2876.82,Standard,N,1485 days,Wednesday
4490,561570,Jamey,Stubbert,Jamey Stubbert,Canada,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Female,Bachelor,Urban,32807.0,Married,Nova,2015-07-03,,2877.35,Standard,N,2372 days,Friday
4491,573290,Jose,Baltzell,Jose Baltzell,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Female,Bachelor,Suburban,32807.0,Married,Nova,2021-04-04,,2877.35,2021 Promotion,N,270 days,Sunday
4492,497891,Graham,Franke,Graham Franke,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Female,Bachelor,Suburban,38870.0,Divorced,Nova,2018-09-06,,2877.81,Standard,N,1211 days,Thursday
4493,755374,Gloria,Bobek,Gloria Bobek,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Female,Bachelor,Rural,79189.0,Married,Nova,2018-02-17,,2878.77,Standard,N,1412 days,Saturday
4494,321762,Ramona,Shangraw,Ramona Shangraw,Canada,Ontario,Ottawa,45.421532,-75.697189,K1G 4Z0,Male,College,Urban,0.0,Single,Nova,2016-07-28,,2878.85,Standard,N,1981 days,Thursday
4495,612955,Estefana,Sherril,Estefana Sherril,Canada,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Female,Bachelor,Suburban,42247.0,Divorced,Nova,2018-03-05,,2879.51,Standard,N,1396 days,Monday
4496,260464,Rena,Joganic,Rena Joganic,Canada,Newfoundland,St. John's,47.561508,-52.712578,A1C 6H9,Male,Bachelor,Urban,40525.0,Married,Nova,2016-10-12,,2879.63,Standard,N,1905 days,Wednesday
4497,963595,Angel,Kluz,Angel Kluz,Canada,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Female,Bachelor,Suburban,40525.0,Married,Nova,2020-04-26,,2879.63,Standard,N,613 days,Sunday
4498,193150,Lorna,Northup,Lorna Northup,Canada,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Male,Bachelor,Suburban,81565.0,Married,Nova,2019-07-17,,2880.35,Standard,N,897 days,Wednesday
4499,369416,Alyson,Longabaugh,Alyson Longabaugh,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Male,Bachelor,Urban,81565.0,Married,Nova,2020-07-19,,2880.35,Standard,N,529 days,Sunday
4500,888506,Margaretta,Hiltbrand,Margaretta Hiltbrand,Canada,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Male,Bachelor,Suburban,37741.0,Single,Nova,2016-08-02,,2883.17,Standard,N,1976 days,Tuesday
4501,410790,Clotilde,Honnold,Clotilde Honnold,Canada,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Female,Bachelor,Urban,63438.0,Married,Nova,2017-11-08,,2884.64,Standard,N,1513 days,Wednesday
4502,865401,Edwin,Oliverson,Edwin Oliverson,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,Female,Bachelor,Rural,77748.0,Married,Nova,2015-11-30,,2885.0,Standard,N,2222 days,Monday
4503,894099,Bobbie,Farina,Bobbie Farina,Canada,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,Female,Bachelor,Rural,77748.0,Married,Nova,2020-11-09,,2885.0,Standard,N,416 days,Monday
4504,797158,Yesenia,Donegan,Yesenia Donegan,Canada,Ontario,Kingston,44.231171,-76.485954,M9K 2P4,Male,Bachelor,Suburban,62579.0,Married,Nova,2016-12-10,,2885.33,Standard,N,1846 days,Saturday
4505,918272,Eloise,Scholtes,Eloise Scholtes,Canada,Nova Scotia,Halifax,44.648766,-63.575237,B3C 2M8,Male,Bachelor,Urban,92722.0,Married,Nova,2018-01-20,,2885.41,Standard,N,1440 days,Saturday
4506,297684,Lisa,Krylo,Lisa Krylo,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Male,Bachelor,Rural,35654.0,Married,Nova,2021-03-18,,2885.74,2021 Promotion,N,287 days,Thursday
4507,687186,Antonina,Gilespie,Antonina Gilespie,Canada,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,Male,Bachelor,Urban,35654.0,Married,Nova,2020-05-12,,2885.74,Standard,N,597 days,Tuesday
4508,458614,Estell,Harlow,Estell Harlow,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Female,Bachelor,Urban,52972.0,Single,Nova,2018-07-24,,2886.23,Standard,N,1255 days,Tuesday
4509,231013,Jake,Maddox,Jake Maddox,Canada,Ontario,Kingston,44.231171,-76.485954,M9K 2P4,Male,Master,Urban,10312.0,Married,Nova,2018-10-27,,2886.45,Standard,N,1160 days,Saturday
4510,277884,Doreen,Velazquez,Doreen Velazquez,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Male,Master,Suburban,10312.0,Married,Nova,2021-06-15,,2886.45,Standard,N,198 days,Tuesday
4511,452873,Emely,Goepfert,Emely Goepfert,Canada,Ontario,London,42.984924,-81.245277,M5B 3E4,Female,Master,Rural,10312.0,Married,Nova,2018-08-19,,2886.45,Standard,N,1229 days,Sunday
4512,465741,Roselyn,Mayol,Roselyn Mayol,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,Female,Master,Rural,10312.0,Married,Nova,2019-11-25,,2886.45,Standard,N,766 days,Monday
4513,515860,Stuart,Foote,Stuart Foote,Canada,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Female,Master,Rural,10312.0,Married,Nova,2015-09-15,,2886.45,Standard,N,2298 days,Tuesday
4514,777549,Alva,Waiss,Alva Waiss,Canada,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,Female,Master,Urban,10312.0,Married,Nova,2016-01-09,,2886.45,Standard,N,2182 days,Saturday
4515,916358,Gertrude,Saucer,Gertrude Saucer,Canada,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Female,Master,Suburban,10312.0,Married,Nova,2020-08-09,,2886.45,Standard,N,508 days,Sunday
4516,100102,Rigoberto,Palacio,Rigoberto Palacio,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Male,College,Urban,0.0,Single,Nova,2016-03-09,,2887.74,Standard,N,2122 days,Wednesday
4517,977693,Randal,Duprat,Randal Duprat,Canada,Alberta,Calgary,51.048615,-114.07085,T3E 2V9,Female,College,Rural,0.0,Single,Nova,2021-02-03,,2887.74,2021 Promotion,N,330 days,Wednesday
4518,675516,Dustin,Girone,Dustin Girone,Canada,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Female,Bachelor,Urban,62018.0,Married,Nova,2018-06-01,,2887.78,Standard,N,1308 days,Friday
4519,751823,Theron,Pries,Theron Pries,Canada,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Male,Bachelor,Urban,62018.0,Married,Nova,2015-12-11,,2887.78,Standard,N,2211 days,Friday
4520,194065,Hester,Brudner,Hester Brudner,Canada,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,Female,Bachelor,Urban,65412.0,Married,Nova,2021-02-14,,2888.85,2021 Promotion,N,319 days,Sunday
4521,375683,Charleen,Mcaloon,Charleen Mcaloon,Canada,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Male,Bachelor,Urban,72075.0,Married,Nova,2019-12-15,,2889.09,Standard,N,746 days,Sunday
4522,631406,Zola,Sade,Zola Sade,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Male,Bachelor,Rural,51906.0,Married,Nova,2020-06-14,,2890.34,Standard,N,564 days,Sunday
4523,864161,Cathryn,Schirrmacher,Cathryn Schirrmacher,Canada,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,Female,Bachelor,Urban,51906.0,Married,Nova,2015-08-08,,2890.34,Standard,N,2336 days,Saturday
4524,976423,Shelia,Luedi,Shelia Luedi,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Male,Bachelor,Urban,80590.0,Married,Nova,2019-06-20,2021-11-28,2891.27,Standard,Y,892 days,Thursday
4525,959280,Na,Eiden,Na Eiden,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Female,Bachelor,Rural,21979.0,Married,Nova,2019-09-04,,2891.72,Standard,N,848 days,Wednesday
4526,531619,Thalia,Hameister,Thalia Hameister,Canada,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,Male,Bachelor,Suburban,56761.0,Married,Nova,2018-08-18,,2891.73,Standard,N,1230 days,Saturday
4527,728563,Martha,Mehner,Martha Mehner,Canada,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Male,Bachelor,Rural,56761.0,Married,Nova,2020-11-02,,2891.73,Standard,N,423 days,Monday
4528,552016,Melodee,Belshaw,Melodee Belshaw,Canada,Saskatchewan,Regina,50.44521,-104.6189,S6J 3G0,Male,Bachelor,Urban,30406.0,Married,Nova,2020-03-13,,2893.31,Standard,N,657 days,Friday
4529,982296,Boyce,Tourtellotte,Boyce Tourtellotte,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Male,Bachelor,Urban,61809.0,Married,Nova,2015-05-12,,2893.81,Standard,N,2424 days,Tuesday
4530,113874,Jacquelyne,Miskiewicz,Jacquelyne Miskiewicz,Canada,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Female,College,Urban,0.0,Single,Nova,2021-02-09,,2894.24,2021 Promotion,N,324 days,Tuesday
4531,562404,Taisha,Bilous,Taisha Bilous,Canada,Alberta,Peace River,56.23418,-117.28938,T9O 2W2,Female,College,Suburban,0.0,Single,Nova,2018-05-07,,2894.24,Standard,N,1333 days,Monday
4532,135841,Mario,Aun,Mario Aun,Canada,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Male,Bachelor,Suburban,28204.0,Married,Nova,2021-12-21,,2894.58,Standard,N,9 days,Tuesday
4533,926611,Johna,Everett,Johna Everett,Canada,New Brunswick,Moncton,46.087818,-64.778229,E1A 2A7,Male,Bachelor,Suburban,28204.0,Married,Nova,2017-09-27,,2894.58,Standard,N,1555 days,Wednesday
4534,426958,Cassondra,Herrington,Cassondra Herrington,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Female,Bachelor,Urban,72014.0,Married,Nova,2016-08-04,,2895.21,Standard,N,1974 days,Thursday
4535,442479,Willena,Kauder,Willena Kauder,Canada,Ontario,Toronto,43.653225,-79.383186,M2M 6J7,Female,Bachelor,Rural,33746.0,Divorced,Nova,2017-09-07,,2896.92,Standard,N,1575 days,Thursday
4536,870687,Gale,Pinnt,Gale Pinnt,Canada,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Male,Bachelor,Suburban,75041.0,Single,Nova,2018-05-13,,2897.28,Standard,N,1327 days,Sunday
4537,569347,Tandy,Bachas,Tandy Bachas,Canada,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Male,Bachelor,Rural,54337.0,Married,Nova,2017-10-24,,2897.62,Standard,N,1528 days,Tuesday
4538,831860,Harriette,Mingle,Harriette Mingle,Canada,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Female,Bachelor,Urban,54337.0,Married,Nova,2017-05-29,,2897.62,Standard,N,1676 days,Monday
4539,857235,Phyllis,Ramotar,Phyllis Ramotar,Canada,Ontario,Kingston,44.231171,-76.485954,M9K 2P4,Male,College,Suburban,0.0,Single,Nova,2015-11-01,,2897.78,Standard,N,2251 days,Sunday
4540,465729,Otis,Petrecca,Otis Petrecca,Canada,Alberta,Peace River,56.23418,-117.28938,T9O 2W2,Male,College,Urban,0.0,Single,Nova,2019-02-17,,2898.73,Standard,N,1047 days,Sunday
4541,240963,Kenia,Alexnder,Kenia Alexnder,Canada,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,Male,Bachelor,Rural,33738.0,Divorced,Nova,2021-04-12,,2899.32,2021 Promotion,N,262 days,Monday
4542,336831,Buena,Colpa,Buena Colpa,Canada,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,Female,Bachelor,Urban,65247.0,Married,Nova,2021-09-08,,2899.7,Standard,N,113 days,Wednesday
4543,942083,Demetra,Wormwood,Demetra Wormwood,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Female,Bachelor,Rural,65247.0,Married,Nova,2021-12-28,,2899.7,Standard,N,2 days,Tuesday
4544,851549,Ciara,Manweiler,Ciara Manweiler,Canada,Nova Scotia,Halifax,44.648766,-63.575237,B3J 9S2,Female,Bachelor,Urban,66524.0,Married,Nova,2017-10-22,,2899.92,Standard,N,1530 days,Sunday
4545,333207,Elin,Cendejas,Elin Cendejas,Canada,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Female,Bachelor,Suburban,96137.0,Married,Nova,2020-09-07,,2902.15,Standard,N,479 days,Monday
4546,677560,Carmelita,Loraine,Carmelita Loraine,Canada,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Male,Bachelor,Rural,96137.0,Married,Nova,2018-06-22,,2902.15,Standard,N,1287 days,Friday
4547,757420,Son,Plagmann,Son Plagmann,Canada,Saskatchewan,Regina,50.44521,-104.6189,S1J 3C5,Female,Bachelor,Urban,23893.0,Married,Nova,2017-10-26,,2902.62,Standard,N,1526 days,Thursday
4548,344768,Ellyn,Wearly,Ellyn Wearly,Canada,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,Male,Bachelor,Suburban,36845.0,Married,Nova,2017-01-10,2017-09-10,2903.02,Standard,Y,243 days,Tuesday
4549,347634,Kent,Breshears,Kent Breshears,Canada,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Female,Bachelor,Rural,20510.0,Married,Nova,2018-05-08,,2903.24,Standard,N,1332 days,Tuesday
4550,421752,Zenia,Trumbull,Zenia Trumbull,Canada,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Male,College,Urban,0.0,Married,Nova,2021-11-18,,2903.75,Standard,N,42 days,Thursday
4551,663416,Johnetta,Pia,Johnetta Pia,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Male,College,Urban,0.0,Married,Nova,2016-03-03,,2903.75,Standard,N,2128 days,Thursday
4552,221813,Berta,Baetz,Berta Baetz,Canada,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,Male,Bachelor,Suburban,72211.0,Married,Nova,2021-03-01,,2906.3,2021 Promotion,N,304 days,Monday
4553,747187,Stevie,Crase,Stevie Crase,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Female,Bachelor,Suburban,72211.0,Married,Nova,2019-12-05,,2906.3,Standard,N,756 days,Thursday
4554,283980,Jani,Bringman,Jani Bringman,Canada,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Female,Bachelor,Rural,24049.0,Married,Nova,2018-02-21,,2907.36,Standard,N,1408 days,Wednesday
4555,487212,Edgardo,Raisor,Edgardo Raisor,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Male,Bachelor,Suburban,24049.0,Married,Nova,2018-07-17,2021-10-02,2907.36,Standard,Y,1173 days,Tuesday
4556,288612,Brooks,Krigbaum,Brooks Krigbaum,Canada,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Female,Bachelor,Urban,52216.0,Married,Nova,2021-06-12,2019-02-12,2907.44,Standard,Y,-851 days,Saturday
4557,921746,Clement,Marhefka,Clement Marhefka,Canada,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Female,Bachelor,Suburban,51020.0,Divorced,Nova,2021-03-08,2020-02-18,2907.9,2021 Promotion,Y,-384 days,Monday
4558,638085,Christinia,Bleich,Christinia Bleich,Canada,Ontario,London,42.984924,-81.245277,M5B 3E4,Male,Bachelor,Urban,74212.0,Married,Nova,2021-12-22,,2908.02,Standard,N,8 days,Wednesday
4559,835440,Randy,Kleffman,Randy Kleffman,Canada,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Male,Bachelor,Rural,35895.0,Married,Nova,2019-04-30,2021-04-17,2908.88,Standard,Y,718 days,Tuesday
4560,700207,Kallie,Goynes,Kallie Goynes,Canada,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,Female,Bachelor,Urban,88944.0,Single,Nova,2018-10-31,,2909.55,Standard,N,1156 days,Wednesday
4561,747668,Mimi,Spurrier,Mimi Spurrier,Canada,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Female,Bachelor,Suburban,88944.0,Single,Nova,2019-07-16,,2909.55,Standard,N,898 days,Tuesday
4562,203607,Thi,Beaubrun,Thi Beaubrun,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Female,High School or Below,Suburban,12048.0,Married,Nova,2021-01-09,,2910.32,Standard,N,355 days,Saturday
4563,260245,Mitzie,Beseau,Mitzie Beseau,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Female,High School or Below,Urban,12048.0,Married,Nova,2017-07-02,,2910.32,Standard,N,1642 days,Sunday
4564,417904,Jonas,Digangi,Jonas Digangi,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Male,College,Urban,0.0,Single,Nova,2020-01-07,,2912.24,Standard,N,723 days,Tuesday
4565,973059,Dorris,Sandez,Dorris Sandez,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Male,College,Suburban,0.0,Single,Nova,2021-06-28,,2912.24,Standard,N,185 days,Monday
4566,459563,Zandra,Noftsier,Zandra Noftsier,Canada,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Female,Bachelor,Suburban,93403.0,Divorced,Nova,2019-09-29,,2912.25,Standard,N,823 days,Sunday
4567,332289,Elin,Prinkleton,Elin Prinkleton,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Female,Bachelor,Urban,65436.0,Married,Nova,2019-08-07,,2912.6,Standard,N,876 days,Wednesday
4568,400313,Millie,Nasser,Millie Nasser,Canada,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,Male,Bachelor,Rural,65436.0,Married,Nova,2018-05-07,,2912.6,Standard,N,1333 days,Monday
4569,373886,Leann,Cracas,Leann Cracas,Canada,Alberta,Calgary,51.048615,-114.07085,T3E 2V9,Female,Bachelor,Rural,81097.0,Divorced,Nova,2019-07-31,,2912.89,Standard,N,883 days,Wednesday
4570,490387,Lloyd,Baison,Lloyd Baison,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Female,Bachelor,Rural,81097.0,Divorced,Nova,2018-07-02,2019-03-02,2912.89,Standard,Y,243 days,Monday
4571,409908,Odelia,Grossberg,Odelia Grossberg,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,Male,Bachelor,Rural,68899.0,Single,Nova,2017-08-31,,2912.91,Standard,N,1582 days,Thursday
4572,210647,Tamar,Kulseth,Tamar Kulseth,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Female,Doctor,Urban,20075.0,Divorced,Nova,2017-08-23,,2913.32,Standard,N,1590 days,Wednesday
4573,904602,Maurita,Mater,Maurita Mater,Canada,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,Female,Doctor,Urban,20075.0,Divorced,Nova,2018-10-07,,2913.32,Standard,N,1180 days,Sunday
4574,346704,Felecia,Gailey,Felecia Gailey,Canada,Saskatchewan,Regina,50.44521,-104.6189,S6J 3G0,Female,Bachelor,Suburban,76638.0,Single,Nova,2017-07-12,,2913.48,Standard,N,1632 days,Wednesday
4575,926867,Merrill,Giaimo,Merrill Giaimo,Canada,Ontario,Kingston,44.231171,-76.485954,M9K 2P4,Female,Bachelor,Urban,76638.0,Single,Nova,2021-07-29,,2913.48,Standard,N,154 days,Thursday
4576,485062,Addie,Steitz,Addie Steitz,Canada,Ontario,Kingston,44.231171,-76.485954,M9K 2P4,Female,Bachelor,Suburban,89672.0,Married,Nova,2020-04-13,,2913.49,Standard,N,626 days,Monday
4577,635517,Albert,Nikolic,Albert Nikolic,Canada,Ontario,Ottawa,45.421532,-75.697189,K1G 4Z0,Female,Doctor,Suburban,28523.0,Married,Nova,2021-05-04,,2914.09,Standard,N,240 days,Tuesday
4578,906780,Delbert,Neiswander,Delbert Neiswander,Canada,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,Male,Bachelor,Urban,37803.0,Divorced,Nova,2017-10-13,,2914.96,Standard,N,1539 days,Friday
4579,715255,Carley,Fujino,Carley Fujino,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Male,Bachelor,Urban,83218.0,Married,Nova,2020-12-08,,2915.65,Standard,N,387 days,Tuesday
4580,948489,Elmira,Antill,Elmira Antill,Canada,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Female,Bachelor,Urban,85817.0,Married,Nova,2016-08-06,,2916.38,Standard,N,1972 days,Saturday
4581,397272,Theo,Turnbow,Theo Turnbow,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Male,Bachelor,Rural,85210.0,Divorced,Nova,2021-11-08,,2916.42,Standard,N,52 days,Monday
4582,478700,Lora,Politano,Lora Politano,Canada,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Female,Bachelor,Urban,51622.0,Divorced,Nova,2019-06-12,,2917.54,Standard,N,932 days,Wednesday
4583,789052,Lachelle,Banchero,Lachelle Banchero,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Female,Bachelor,Urban,51622.0,Divorced,Nova,2015-11-13,,2917.54,Standard,N,2239 days,Friday
4584,453887,Augustina,Radsek,Augustina Radsek,Canada,Newfoundland,St. John's,47.561508,-52.712578,A1C 6H9,Male,Bachelor,Suburban,80714.0,Married,Nova,2017-03-26,,2918.58,Standard,N,1740 days,Sunday
4585,991893,Peter,Cunneen,Peter Cunneen,Canada,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Male,Bachelor,Rural,80714.0,Married,Nova,2019-12-24,,2918.58,Standard,N,737 days,Tuesday
4586,972648,Bettina,Jeanes,Bettina Jeanes,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Male,Bachelor,Suburban,41456.0,Married,Nova,2021-02-16,,2919.71,2021 Promotion,N,317 days,Tuesday
4587,500058,Sonny,Mastro,Sonny Mastro,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Male,Bachelor,Suburban,62018.0,Married,Nova,2015-11-30,,2921.49,Standard,N,2222 days,Monday
4588,940901,Vincenza,Eyles,Vincenza Eyles,Canada,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Male,College,Urban,0.0,Single,Nova,2018-07-10,2019-03-10,2921.68,Standard,Y,243 days,Tuesday
4589,960005,Evangelina,Lembcke,Evangelina Lembcke,Canada,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Male,College,Suburban,0.0,Single,Nova,2016-05-03,,2921.68,Standard,N,2067 days,Tuesday
4590,267020,Marty,Easdon,Marty Easdon,Canada,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Male,Bachelor,Suburban,63499.0,Married,Nova,2020-05-15,,2921.93,Standard,N,594 days,Friday
4591,283338,Kendra,Salvas,Kendra Salvas,Canada,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Female,Bachelor,Suburban,63499.0,Married,Nova,2020-06-30,,2921.93,Standard,N,548 days,Tuesday
4592,872234,Danyell,Kossen,Danyell Kossen,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Male,Bachelor,Urban,64459.0,Married,Nova,2017-06-18,,2924.98,Standard,N,1656 days,Sunday
4593,408500,Stepanie,Deakins,Stepanie Deakins,Canada,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Female,Bachelor,Rural,30752.0,Married,Nova,2018-07-14,,2925.73,Standard,N,1265 days,Saturday
4594,762259,Kelley,Rindler,Kelley Rindler,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Female,Bachelor,Suburban,30752.0,Married,Nova,2019-12-02,,2925.73,Standard,N,759 days,Monday
4595,804930,Yetta,Shabel,Yetta Shabel,Canada,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Male,Bachelor,Urban,23656.0,Single,Nova,2015-10-24,,2926.52,Standard,N,2259 days,Saturday
4596,877008,Tamar,Creach,Tamar Creach,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Male,Bachelor,Rural,26242.0,Married,Nova,2021-04-10,,2926.83,2021 Promotion,N,264 days,Saturday
4597,913809,China,Dibari,China Dibari,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Female,Bachelor,Suburban,26242.0,Married,Nova,2017-02-02,2017-10-02,2926.83,Standard,Y,242 days,Thursday
4598,445169,Arlie,Emswiler,Arlie Emswiler,Canada,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Female,Bachelor,Urban,92381.0,Married,Nova,2015-10-30,,2926.89,Standard,N,2253 days,Friday
4599,795492,Markita,Sack,Markita Sack,Canada,New Brunswick,Moncton,46.087818,-64.778229,E1A 2A7,Male,Bachelor,Suburban,92381.0,Married,Nova,2018-10-04,,2926.89,Standard,N,1183 days,Thursday
4600,744567,Natisha,Dary,Natisha Dary,Canada,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,Female,Bachelor,Urban,75685.0,Married,Nova,2019-07-18,,2927.07,Standard,N,896 days,Thursday
4601,651605,Dorsey,Schilke,Dorsey Schilke,Canada,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,Male,Bachelor,Urban,76850.0,Married,Nova,2016-12-28,,2927.22,Standard,N,1828 days,Wednesday
4602,945379,Cecelia,Comtois,Cecelia Comtois,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Male,Bachelor,Suburban,51991.0,Married,Nova,2020-12-29,2021-10-27,2927.73,Standard,Y,302 days,Tuesday
4603,132209,Ginette,Oconnell,Ginette Oconnell,Canada,British Columbia,Kelowna,49.887951,-119.49601,V09 2E9,Male,Bachelor,Urban,63127.0,Married,Nova,2016-02-08,,2928.12,Standard,N,2152 days,Monday
4604,826113,Mendy,Shiplet,Mendy Shiplet,Canada,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,Male,Bachelor,Rural,63127.0,Married,Nova,2021-03-16,,2928.12,2021 Promotion,N,289 days,Tuesday
